Standard Deviation of Differences: 19.026775
Mean Value of Absolute Values of Diffrences: 13.598617
Max Value of Absolute Values of Differences: 89.34476
 
  Real Values  |  Predictions  |  Differences  
   [199.31]       [199.35913]    [-0.0491333]
   [201.86]       [184.33646]    [17.523544] 
   [102.86]       [117.454475]   [-14.594475]
   [80.41]        [96.64571]     [-16.23571] 
   [235.76]       [264.37137]    [-28.611374]
   [123.81]       [97.56299]     [26.24701]  
   [232.02]       [248.18146]    [-16.161453]
   [315.52]       [295.5343]     [19.985687] 
   [53.72]        [45.381794]    [8.338207]  
   [139.24]       [116.97559]    [22.264412] 
   [96.73]        [86.81944]     [9.910561]  
   [91.4]         [90.198006]    [1.2019958] 
   [91.53]        [84.41803]     [7.111969]  
   [105.74]       [87.16506]     [18.574936] 
   [297.04]       [207.69525]    [89.34476]  
   [77.6]         [87.53336]     [-9.933365] 
   [33.63]        [31.134443]    [2.4955578] 
   [76.23]        [78.26733]     [-2.037323] 
   [84.27]        [80.41426]     [3.8557358] 
   [99.74]        [84.52219]     [15.217812] 
   [91.47]        [105.715034]   [-14.245033]
   [112.05]       [119.22904]    [-7.179039] 
   [69.66]        [69.89285]     [-0.23284912]
   [67.74]        [73.88061]     [-6.1406097]
   [81.23]        [73.36676]     [7.863243]  
   [59.68]        [58.83246]     [0.8475418] 
   [53.01]        [52.40138]     [0.6086197] 
   [128.16]       [123.39962]    [4.7603836] 
   [101.56]       [147.60654]    [-46.04654] 
   [87.36]        [82.96204]     [4.397957]  
   [194.12]       [191.51616]    [2.603836]  
   [48.41]        [50.78517]     [-2.3751717]
   [72.23]        [77.98769]     [-5.7576904]
   [88.28]        [99.11913]     [-10.839134]
   [242.21]       [220.35957]    [21.850433] 
   [169.5]        [123.81355]    [45.686447] 
   [36.33]        [37.355682]    [-1.0256805]
   [186.71]       [179.67038]    [7.039627]  
   [127.52]       [173.0125]     [-45.4925]  
   [131.83]       [130.5948]     [1.235199]  
   [39.24]        [46.438114]    [-7.1981125]
   [33.65]        [37.005905]    [-3.3559036]
   [221.83]       [214.62173]    [7.208267]  
   [71.76]        [62.72953]     [9.030472]  
   [229.41]       [201.59164]    [27.81836]  
   [157.68]       [139.60106]    [18.078934] 
   [39.61]        [60.18306]     [-20.57306] 
   [122.9]        [97.74205]     [25.157951] 
   [170.27]       [98.369125]    [71.90088]  
   [81.95]        [94.53689]     [-12.586891]
   [200.72]       [212.62871]    [-11.908707]
   [83.28]        [61.318405]    [21.961594] 
   [274.17]       [208.02951]    [66.1405]   
   [172.35]       [130.52898]    [41.82103]  
   [130.44]       [102.6348]     [27.805199] 
   [100.85]       [108.92811]    [-8.07811]  
   [225.75]       [193.44775]    [32.302246] 
   [211.62]       [196.04053]    [15.579468] 
   [71.33]        [100.48534]    [-29.155334]
   [241.69]       [183.16031]    [58.529694] 
   [37.52]        [27.552504]    [9.967497]  
   [85.49]        [79.71768]     [5.772316]  
   [72.09]        [70.65953]     [1.4304657] 
   [192.98]       [175.41432]    [17.565674] 
   [44.65]        [49.872112]    [-5.2221107]
   [77.7]         [83.50311]     [-5.803116] 
   [80.54]        [74.85721]     [5.6827927] 
   [109.81]       [84.66157]     [25.14843]  
   [235.35]       [236.2198]     [-0.86979675]
   [85.71]        [90.51337]     [-4.8033676]
   [53.26]        [43.898712]    [9.361286]  
   [104.39]       [94.01557]     [10.374428] 
   [181.88]       [205.08644]    [-23.206436]
   [67.81]        [70.65548]     [-2.8454819]
   [63.23]        [71.1026]      [-7.8726006]
   [115.22]       [94.76337]     [20.456635] 
   [207.87]       [219.69937]    [-11.829376]
   [50.81]        [68.816444]    [-18.006443]
   [145.8]        [142.0088]     [3.7911987] 
   [85.]          [85.39886]     [-0.39885712]
   [111.96]       [99.34001]     [12.6199875]
   [33.87]        [25.434454]    [8.435545]  
   [159.44]       [170.92065]    [-11.480652]
   [60.13]        [63.41955]     [-3.2895508]
   [52.94]        [39.807476]    [13.132523] 
   [86.25]        [98.48269]     [-12.232689]
   [114.67]       [112.61854]    [2.0514603] 
   [109.52]       [117.75119]    [-8.231194] 
   [107.78]       [104.71677]    [3.0632324] 
   [256.82]       [247.1179]     [9.702103]  
   [101.47]       [87.06757]     [14.402428] 
   [171.39]       [154.16266]    [17.22734]  
   [107.97]       [79.89244]     [28.07756]  
   [88.04]        [70.46676]     [17.573242] 
   [47.58]        [47.060795]    [0.519207]  
   [51.86]        [109.95766]    [-58.097656]
   [156.7]        [147.98555]    [8.714447]  
   [204.72]       [167.46571]    [37.254288] 
   [250.]         [245.95454]    [4.045456]  
   [61.79]        [70.890045]    [-9.100044] 
   [52.3]         [60.704056]    [-8.404057] 
   [89.46]        [82.43094]     [7.0290604] 
   [56.57]        [73.52961]     [-16.95961] 
   [70.71]        [96.05912]     [-25.349121]
   [88.04]        [91.5544]      [-3.5143967]
   [96.33]        [104.10863]    [-7.7786255]
   [222.49]       [217.67102]    [4.818985]  
   [54.2]         [25.435984]    [28.764017] 
   [90.98]        [92.61744]     [-1.6374359]
   [129.11]       [111.919495]   [17.190506] 
   [101.5]        [96.686134]    [4.8138657] 
   [78.76]        [80.76444]     [-2.0044403]
   [81.1]         [72.6594]      [8.440598]  
   [98.35]        [78.01637]     [20.333626] 
   [90.12]        [78.11295]     [12.00705]  
   [184.48]       [172.01154]    [12.46846]  
   [86.26]        [81.46456]     [4.7954407] 
   [138.6]        [113.83015]    [24.76986]  
   [144.68]       [138.69946]    [5.98053]   
   [207.53]       [204.163]      [3.3670044] 
   [69.41]        [55.955547]    [13.454456] 
   [118.41]       [125.96109]    [-7.5510864]
   [64.15]        [92.25014]     [-28.100136]
   [46.11]        [70.06096]     [-23.950958]
   [117.42]       [109.11152]    [8.308479]  
   [120.57]       [133.6413]     [-13.071297]
   [136.97]       [127.915535]   [9.054466]  
   [207.94]       [176.00793]    [31.932068] 
   [90.26]        [115.987274]   [-25.727272]
   [72.33]        [90.694016]    [-18.364014]
   [42.7]         [65.83886]     [-23.138859]
   [101.68]       [76.75953]     [24.920471] 
   [260.85]       [265.55725]    [-4.707245] 
   [81.1]         [98.91266]     [-17.81266] 
   [106.04]       [118.80887]    [-12.7688675]
   [133.34]       [109.62328]    [23.716713] 
   [124.22]       [94.23577]     [29.98423]  
   [151.86]       [134.49583]    [17.364166] 
   [76.5]         [67.97861]     [8.521393]  
   [25.14]        [27.888487]    [-2.7484875]
   [250.75]       [236.18047]    [14.569534] 
   [65.05]        [71.54244]     [-6.4924393]
   [79.69]        [58.963394]    [20.726608] 
   [162.35]       [152.83595]    [9.514053]  
   [241.91]       [241.90672]    [0.00328064]
   [116.51]       [109.73573]    [6.774269]  
   [134.52]       [142.94882]    [-8.428818] 
   [21.11]        [32.567493]    [-11.457493]
   [173.84]       [185.4836]     [-11.6436]  
   [100.08]       [99.6523]      [0.42770386]
   [81.86]        [83.58285]     [-1.722847] 
   [153.32]       [131.87668]    [21.443329] 
   [245.71]       [204.9252]     [40.784805] 
   [92.17]        [96.96823]     [-4.798233] 
   [114.93]       [113.28504]    [1.6449585] 
   [23.62]        [25.309393]    [-1.6893921]
   [101.5]        [107.38878]    [-5.8887787]
   [242.99]       [235.02983]    [7.9601746] 
   [115.69]       [137.46889]    [-21.778885]
   [114.81]       [83.826294]    [30.983704] 
   [36.16]        [29.40355]     [6.7564507] 
   [100.02]       [93.94414]     [6.075859]  
   [279.27]       [242.12523]    [37.14476]  
   [132.04]       [114.52443]    [17.515564] 
   [113.93]       [120.11785]    [-6.187851] 
   [185.1]        [178.92125]    [6.1787567] 
   [122.94]       [119.7952]     [3.144806]  
   [110.76]       [98.36767]     [12.392334] 
   [214.92]       [203.67696]    [11.243042] 
   [68.52]        [63.02575]     [5.4942474] 
   [190.52]       [118.607925]   [71.91208]  
   [105.09]       [93.78421]     [11.305786] 
   [85.73]        [92.88032]     [-7.1503143]
   [48.52]        [51.268814]    [-2.7488136]
   [249.04]       [209.60306]    [39.436935] 
   [90.26]        [66.97525]     [23.284752] 
   [164.3]        [179.84642]    [-15.546417]
   [131.02]       [108.69875]    [22.32125]  
   [57.63]        [85.15626]     [-27.526257]
   [130.58]       [116.536415]   [14.043587] 
   [26.88]        [25.051716]    [1.8282833] 
   [60.95]        [71.5384]      [-10.588398]
   [127.66]       [132.6055]     [-4.9454956]
   [55.76]        [64.848885]    [-9.088886] 
   [118.88]       [114.614365]   [4.2656326] 
   [53.01]        [54.41545]     [-1.4054527]
   [183.08]       [141.65454]    [41.42546]  
   [99.01]        [99.362785]    [-0.3527832]
   [233.77]       [221.42406]    [12.345947] 
   [161.84]       [153.05827]    [8.781723]  
   [57.22]        [58.702805]    [-1.4828033]
   [265.4]        [257.0773]     [8.322693]  
   [104.68]       [95.73229]     [8.947708]  
   [65.37]        [81.132065]    [-15.762062]
   [204.71]       [182.32915]    [22.38086]  
   [143.66]       [153.4506]     [-9.790604] 
   [71.61]        [60.864]       [10.746002] 
   [147.24]       [155.79684]    [-8.556839] 
   [150.46]       [149.65201]    [0.80799866]
   [80.85]        [61.80463]     [19.045368] 
   [164.77]       [148.712]      [16.057999] 
   [111.2]        [101.22291]    [9.977089]  
   [65.88]        [63.59383]     [2.2861671] 
   [120.18]       [106.76773]    [13.41227]  
   [98.71]        [86.53015]     [12.179848] 
   [150.56]       [140.42833]    [10.131668] 
   [81.23]        [52.867043]    [28.36296]  
   [112.44]       [98.82566]     [13.614342] 
   [272.93]       [240.58525]    [32.34474]  
   [87.27]        [90.88794]     [-3.6179428]
   [132.92]       [132.1792]     [0.74079895]
   [134.96]       [106.99526]    [27.964745] 
   [113.18]       [115.1307]     [-1.9506989]
   [105.48]       [91.70759]     [13.772415] 
   [135.29]       [112.46565]    [22.82434]  
   [28.92]        [30.724886]    [-1.8048859]
   [260.76]       [238.30946]    [22.450546] 
   [60.93]        [74.02151]     [-13.091507]
   [72.47]        [90.680374]    [-18.210373]
   [77.37]        [72.69891]     [4.671089]  
   [234.56]       [239.75818]    [-5.198181] 
   [96.52]        [98.96655]     [-2.446556] 
   [92.45]        [98.23751]     [-5.7875137]
   [56.69]        [60.67934]     [-3.9893417]
   [126.98]       [108.319695]   [18.660309] 
   [46.86]        [50.08295]     [-3.22295]  
   [81.96]        [70.05682]     [11.903175] 
   [91.45]        [82.89173]     [8.558266]  
   [248.13]       [239.94455]    [8.185455]  
   [63.55]        [86.34754]     [-22.797543]
   [79.05]        [94.67225]     [-15.622246]
   [28.29]        [21.411152]    [6.878849]  
   [88.76]        [82.948616]    [5.811386]  
   [84.94]        [84.67854]     [0.26145935]
   [233.98]       [236.53357]    [-2.5535736]
   [169.77]       [153.86194]    [15.908066] 
   [119.99]       [109.49028]    [10.499718] 
   [23.25]        [26.372644]    [-3.1226444]
   [93.56]        [72.49054]     [21.069458] 
   [106.08]       [127.73605]    [-21.656052]
   [119.09]       [120.443634]   [-1.3536377]
   [79.16]        [10.464608]    [68.6954]   
   [69.1]         [65.27332]     [3.8266754] 
   [131.27]       [114.1388]     [17.131203] 
   [183.25]       [214.03006]    [-30.78006] 
   [106.44]       [107.22428]    [-0.78427887]
   [97.74]        [96.07189]     [1.6681061] 
   [80.96]        [80.85982]     [0.10018158]
   [59.86]        [64.054306]    [-4.1943054]
   [108.98]       [127.61292]    [-18.63292] 
   [30.06]        [40.387154]    [-10.327154]
   [59.6]         [76.83689]     [-17.236893]
   [114.28]       [129.53108]    [-15.251083]
   [110.33]       [90.75501]     [19.57499]  
   [85.49]        [88.83903]     [-3.3490295]
   [60.42]        [80.18063]     [-19.760635]
   [112.17]       [143.61263]    [-31.442627]
   [172.]         [167.595]      [4.404999]  
   [256.63]       [177.00398]    [79.62602]  
   [90.13]        [105.87542]    [-15.745422]
   [174.5]        [183.32649]    [-8.826492] 
